ID,brand,model,vehiclenumber,cost,status,duration
121,suzuki,,20,29491,,0
122,suzuki25,,56,39108,,0
123,bajaj,,34,47078,,0
124,bajaj1,,33,32291,,0
125,honda,,63,20774,,0
126,suzuki,,29,36441,,0
127,suzuki25,,49,48274,,0
128,bajaj,,44,26638,,0
129,bajaj1,,48,25412,,0
130,honda,,47,47965,,0
131,suzuki,,50,25932,,0
132,suzuki25,,25,37093,,0
133,bajaj,,59,47453,,0
134,bajaj1,,50,34588,,0
135,honda,,49,29895,,0
136,suzuki,,35,31207,,0
137,suzuki25,,29,20389,,0
138,bajaj,,64,51304,,0
139,bajaj1,,29,47448,,0
140,honda,,39,44311,,0
141,suzuki,,39,37172,,0
142,suzuki25,,68,23573,,0
143,bajaj,,33,22392,,0
144,bajaj1,,46,23485,,0
145,honda,,32,27268,,0
146,suzuki,,52,52091,,0
147,suzuki25,,64,42054,,0
148,bajaj,,23,36065,,0
149,bajaj1,,58,27638,,0
150,honda,,39,33527,,0
151,suzuki,,42,36867,,0
152,suzuki25,,22,23507,,0
153,bajaj,,53,31821,,0
154,bajaj1,,37,39018,,0
155,honda,,59,41108,,0
156,suzuki,,55,50854,,0
157,suzuki25,,66,39728,,0
158,bajaj,,64,41401,,0
159,bajaj1,,48,31747,,0
160,honda,,47,36016,,0
161,suzuki,,56,45997,,0
162,suzuki25,,32,39755,,0
163,bajaj,,32,33534,,0
164,bajaj1,,21,40204,,0
165,honda,,56,32433,,0
166,suzuki,,46,24206,,0
167,suzuki25,,43,31575,,0
168,bajaj,,66,38168,,0
169,bajaj1,,69,30097,,0
170,honda,,59,43122,,0
171,suzuki,,55,51842,,0
172,suzuki25,,25,20215,,0
173,bajaj,,43,21636,,0
174,bajaj1,,29,45036,,0
175,honda,,60,49178,,0
176,suzuki,,53,32784,,0
177,suzuki25,,34,44327,,0
178,bajaj,,55,52340,,0
179,bajaj1,,50,28765,,0
180,honda,,21,26509,,0
181,suzuki,,58,35063,,0
182,suzuki25,,54,44168,,0
183,bajaj,,47,40619,,0
184,bajaj1,,47,36061,,0
185,honda,,63,39898,,0
186,suzuki,,53,39975,,0
187,suzuki25,,41,47115,,0
188,bajaj,,26,36403,,0
189,bajaj1,,64,34455,,0
190,honda,,51,23383,,0
191,suzuki,,32,23973,,0
192,suzuki25,,64,32517,,0
193,bajaj,,60,43353,,0
194,bajaj1,,61,33951,,0
195,honda,,58,32585,,0
196,suzuki,,30,22157,,0
197,suzuki25,,64,34353,,0
198,bajaj,,64,33678,,0
199,bajaj1,,65,34279,,0
200,honda,,61,28235,,0
201,suzuki,,38,45969,,0
202,suzuki25,,26,39730,,0
203,bajaj,,55,36373,,0
204,bajaj1,,43,36993,,0
205,honda,,54,24273,,0
206,suzuki,,50,31905,,0
207,suzuki25,,53,45709,,0
208,bajaj,,57,38582,,0
209,bajaj1,,23,24237,,0
210,honda,,44,28020,,0
211,suzuki,,23,26283,,0
212,suzuki25,,23,38964,,0
213,bajaj,,37,21957,,0
214,bajaj1,,33,32327,,0
215,honda,,66,24819,,0
216,suzuki,,59,43146,,0
217,suzuki25,,67,25884,,0
218,bajaj,,56,20794,,0
219,bajaj1,,47,38281,,0
220,honda,,59,42506,,0
221,suzuki,,43,28314,,0
222,suzuki25,,50,28787,,0
223,bajaj,,24,49336,,0
224,bajaj1,,60,38988,,0
225,honda,,22,26506,,0
226,suzuki,,65,46234,,0
227,suzuki25,,23,33132,,0
228,bajaj,,62,40617,,0
229,bajaj1,,50,47901,,0
230,honda,,21,47964,,0
231,suzuki,,66,33719,,0
232,suzuki25,,65,28353,,0
233,bajaj,,40,48357,,0
234,bajaj1,,25,28136,,0
235,honda,,39,47952,,0
236,suzuki,,64,25334,,0
237,suzuki25,,32,43866,,0
238,bajaj,,60,38773,,0
239,bajaj1,,39,44559,,0
240,honda,,21,39150,,0
241,suzuki,,34,49752,,0
242,suzuki25,,24,35770,,0
243,bajaj,,50,20082,,0
244,bajaj1,,61,40981,,0
245,honda,,21,23967,,0
246,suzuki,,56,23924,,0
247,suzuki25,,41,26140,,0
248,bajaj,,32,47129,,0
249,bajaj1,,24,43858,,0
250,honda,,47,42212,,0
251,suzuki,,57,36944,,0
252,suzuki25,,31,40812,,0
253,bajaj,,24,28281,,0
254,bajaj1,,45,22094,,0
255,honda,,60,50298,,0
256,suzuki,,39,29125,,0
257,suzuki25,,50,20864,,0
258,bajaj,,39,43131,,0
259,bajaj1,,57,28839,,0
260,honda,,22,38559,,0
261,suzuki,,45,51381,,0
262,suzuki25,,69,35640,,0
263,bajaj,,46,41992,,0
264,bajaj1,,58,49081,,0
265,honda,,64,33997,,0
266,suzuki,,61,44501,,0
267,suzuki25,,49,51571,,0
268,bajaj,,55,30612,,0
269,bajaj1,,39,30047,,0
270,honda,,23,38311,,0
271,suzuki,,53,29154,,0
272,suzuki25,,36,49145,,0
273,bajaj,,52,23400,,0
274,bajaj1,,48,50310,,0
275,honda,,36,44786,,0
276,suzuki,,67,49264,,0
277,suzuki25,,31,27590,,0
278,bajaj,,47,28495,,0
279,bajaj1,,48,32100,,0
280,honda,,53,33993,,0
281,suzuki,,50,33213,,0
282,suzuki25,,41,50276,,0
283,bajaj,,57,49056,,0
284,bajaj1,,36,52119,,0
285,honda,,56,24949,,0
286,suzuki,,62,49703,,0
287,suzuki25,,64,51245,,0
288,bajaj,,50,25777,,0
289,bajaj1,,52,35449,,0
290,honda,,27,40322,,0
291,suzuki,,52,29754,,0
292,suzuki25,,69,40879,,0
293,bajaj,,47,39481,,0
294,bajaj1,,27,47203,,0
295,honda,,57,22041,,0
296,suzuki,,36,51827,,0
297,suzuki25,,31,48778,,0
298,bajaj,,29,43064,,0
299,bajaj1,,55,28607,,0
300,honda,,40,49053,,0
301,suzuki,,35,47137,,0
302,suzuki25,,37,52343,,0
303,bajaj,,21,32069,,0
304,bajaj1,,42,34069,,0
305,honda,,57,27931,,0
306,suzuki,,21,29976,,0
307,suzuki25,,52,20329,,0
308,bajaj,,55,31365,,0
309,bajaj1,,42,35704,,0
310,honda,,69,39193,,0
311,suzuki,,48,46606,,0
312,suzuki25,,27,38877,,0
313,bajaj,,56,48027,,0
314,bajaj1,,38,40186,,0
315,honda,,60,31415,,0
316,suzuki,,20,48077,,0
317,suzuki25,,27,25292,,0
318,bajaj,,58,43326,,0
319,bajaj1,,60,27408,,0
320,honda,,60,35406,,0
321,suzuki,,20,30135,,0
322,suzuki25,,43,37104,,0
323,bajaj,,38,29542,,0
324,bajaj1,,25,23322,,0
325,honda,,38,23274,,0
326,suzuki,,31,51227,,0
327,suzuki25,,36,51498,,0
328,bajaj,,66,47151,,0
329,bajaj1,,29,23898,,0
330,honda,,51,27217,,0
331,suzuki,,69,42354,,0
332,suzuki25,,34,27728,,0
333,bajaj,,65,44767,,0
334,bajaj1,,35,20773,,0
335,honda,,43,36728,,0
336,suzuki,,35,41348,,0
337,suzuki25,,53,31411,,0
338,bajaj,,30,47793,,0
339,bajaj1,,51,46873,,0
340,honda,,27,36757,,0
341,suzuki,,42,34807,,0
342,suzuki25,,63,32785,,0
343,bajaj,,33,24407,,0
344,bajaj1,,44,47762,,0
345,honda,,38,27694,,0
346,suzuki,,22,23526,,0
347,suzuki25,,69,22743,,0
348,bajaj,,60,49486,,0
349,bajaj1,,23,52672,,0
350,honda,,53,49364,,0
351,suzuki,,50,35940,,0
352,suzuki25,,39,48094,,0
353,bajaj,,31,46713,,0
354,bajaj1,,50,49156,,0
355,honda,,62,38250,,0
356,suzuki,,65,43551,,0
357,suzuki25,,49,30215,,0
358,bajaj,,65,32674,,0
359,bajaj1,,48,27772,,0
360,honda,,24,29230,,0
361,suzuki,,62,38015,,0
362,suzuki25,,55,49504,,0
363,bajaj,,30,41422,,0
364,bajaj1,,27,28398,,0
365,honda,,56,21721,,0
366,suzuki,,64,30962,,0
367,suzuki25,,51,42939,,0
368,bajaj,,24,36485,,0
369,bajaj1,,39,51055,,0
370,honda,,29,29328,,0
371,suzuki,,54,44353,,0
372,suzuki25,,30,32991,,0
373,bajaj,,39,27778,,0
374,bajaj1,,58,35191,,0
375,honda,,48,34944,,0
376,suzuki,,24,30250,,0
377,suzuki25,,26,26294,,0
378,bajaj,,26,28264,,0
379,bajaj1,,64,45375,,0
380,honda,,68,27992,,0
381,suzuki,,47,48529,,0
382,suzuki25,,55,32295,,0
383,bajaj,,42,52071,,0
384,bajaj1,,69,37537,,0
385,honda,,25,45055,,0
386,suzuki,,42,43006,,0
387,suzuki25,,35,49542,,0
388,bajaj,,63,44542,,0
389,bajaj1,,47,38609,,0
390,honda,,49,25656,,0
391,suzuki,,29,28493,,0
392,suzuki25,,60,41390,,0
393,bajaj,,69,22329,,0
394,bajaj1,,47,47782,,0
395,honda,,62,23570,,0
396,suzuki,,54,30901,,0
397,suzuki25,,20,25935,,0
398,bajaj,,20,22813,,0
399,bajaj1,,55,34127,,0
400,honda,,68,34137,,0
401,suzuki,,32,22160,,0
402,suzuki25,,39,47605,,0
403,bajaj,,45,47393,,0
404,bajaj1,,28,36771,,0
405,honda,,40,33882,,0
406,suzuki,,63,23180,,0
407,suzuki25,,51,32970,,0
408,bajaj,,40,37860,,0
409,bajaj1,,35,48753,,0
410,honda,,32,33217,,0
411,suzuki,,45,39727,,0
412,suzuki25,,23,37165,,0
413,bajaj,,66,36221,,0
414,bajaj1,,53,38521,,0
415,honda,,43,34651,,0
416,suzuki,,52,26581,,0
417,suzuki25,,63,34185,,0
418,bajaj,,34,34334,,0
419,bajaj1,,67,40698,,0
420,honda,,59,51191,,0
421,suzuki,,44,43142,,0
422,suzuki25,,67,47899,,0
423,bajaj,,31,49375,,0
424,bajaj1,,20,45042,,0
425,honda,,53,22726,,0
426,suzuki,,69,41826,,0
427,suzuki25,,42,35711,,0
428,bajaj,,67,31463,,0
429,bajaj1,,50,23426,,0
430,honda,,37,50918,,0
431,suzuki,,39,42867,,0
432,suzuki25,,25,32574,,0
433,bajaj,,66,27476,,0
434,bajaj1,,30,28193,,0
435,honda,,64,41466,,0
436,suzuki,,24,48418,,0
437,suzuki25,,51,23229,,0
438,bajaj,,41,22670,,0
439,bajaj1,,52,22388,,0
440,honda,,29,40192,,0
441,suzuki,,26,50849,,0
442,suzuki25,,42,33584,,0
443,bajaj,,61,28136,,0
444,bajaj1,,50,48652,,0
445,honda,,68,22726,,0
446,suzuki,,54,32522,,0
447,suzuki25,,55,24447,,0
448,bajaj,,39,21692,,0
449,bajaj1,,69,39512,,0
450,honda,,69,22437,,0
451,suzuki,,57,38151,,0
452,suzuki25,,60,39243,,0
453,bajaj,,59,22120,,0
454,bajaj1,,23,35213,,0
455,honda,,23,36977,,0
456,suzuki,,50,50743,,0
457,suzuki25,,20,35944,,0
458,bajaj,,29,35028,,0
459,bajaj1,,25,42835,,0
460,honda,,38,42691,,0
461,suzuki,,24,29361,,0
462,suzuki25,,61,22413,,0
463,bajaj,,50,52583,,0
464,bajaj1,,55,46454,,0
465,honda,,59,35069,,0
466,suzuki,,24,44114,,0
467,suzuki25,,46,28426,,0
468,bajaj,,63,51866,,0
469,bajaj1,,62,47853,,0
470,honda,,33,43199,,0
471,suzuki,,29,23486,,0
472,suzuki25,,31,23230,,0
473,bajaj,,28,37509,,0
474,bajaj1,,22,40949,,0
475,honda,,47,49321,,0
476,suzuki,,30,50485,,0
477,suzuki25,,21,31403,,0
478,bajaj,,64,27928,,0
479,bajaj1,,37,45843,,0
480,honda,,31,45717,,0
481,suzuki,,69,37291,,0
482,suzuki25,,61,22993,,0
483,bajaj,,45,51948,,0
484,bajaj1,,59,33592,,0
485,honda,,52,35766,,0
486,suzuki,,66,38093,,0
487,suzuki25,,38,52548,,0
488,bajaj,,30,52670,,0
489,bajaj1,,24,42334,,0
490,honda,,69,47164,,0
491,suzuki,,37,26320,,0
492,suzuki25,,34,28041,,0
493,bajaj,,36,42524,,0
494,bajaj1,,23,24659,,0
495,honda,,66,30316,,0
496,suzuki,,35,41280,,0
497,suzuki25,,60,29386,,0
498,bajaj,,42,20938,,0
499,bajaj1,,30,26515,,0
500,honda,,29,47437,,0
501,suzuki,,31,45097,,0
502,suzuki25,,33,45150,,0
503,bajaj,,24,40169,,0
504,bajaj1,,35,22111,,0
505,honda,,23,30045,,0
506,suzuki,,38,50512,,0
507,suzuki25,,66,27314,,0
508,bajaj,,24,47080,,0
509,bajaj1,,28,36460,,0
510,honda,,55,21989,,0
511,suzuki,,26,41304,,0
512,suzuki25,,46,39584,,0
513,bajaj,,39,20162,,0
514,bajaj1,,22,35300,,0
515,honda,,31,42985,,0
516,suzuki,,26,42752,,0
517,suzuki25,,43,29616,,0
518,bajaj,,34,25115,,0
519,bajaj1,,44,42646,,0
520,honda,,57,28616,,0
521,suzuki,,36,38632,,0
522,suzuki25,,48,48859,,0
523,bajaj,,34,49462,,0
524,bajaj1,,44,32890,,0
525,honda,,48,45315,,0
526,suzuki,,40,30327,,0
527,suzuki25,,53,25024,,0
528,bajaj,,56,31709,,0
529,bajaj1,,54,44028,,0
530,honda,,37,31688,,0
531,suzuki,,50,37589,,0
532,suzuki25,,54,51834,,0
533,bajaj,,62,34226,,0
534,bajaj1,,37,38060,,0
535,honda,,31,27188,,0
536,suzuki,,61,22818,,0
537,suzuki25,,55,33385,,0
538,bajaj,,40,41090,,0
539,bajaj1,,69,33603,,0
540,honda,,43,26470,,0
541,suzuki,,60,28489,,0
542,suzuki25,,34,28336,,0
543,bajaj,,62,35213,,0
544,bajaj1,,69,26142,,0
545,honda,,69,29918,,0
546,suzuki,,31,42270,,0
547,suzuki25,,42,21310,,0
548,bajaj,,37,26083,,0
549,bajaj1,,43,31127,,0
550,honda,,45,46776,,0
551,suzuki,,61,35753,,0
552,suzuki25,,45,38292,,0
553,bajaj,,62,37959,,0
554,bajaj1,,57,27119,,0
555,honda,,42,28099,,0
556,suzuki,,21,20693,,0
557,suzuki25,,36,36519,,0
558,bajaj,,25,28473,,0
559,bajaj1,,44,36517,,0
560,honda,,62,48779,,0
561,suzuki,,57,30673,,0
562,suzuki25,,47,34701,,0
563,bajaj,,46,47118,,0
564,bajaj1,,54,32610,,0
565,honda,,65,50886,,0
566,suzuki,,68,47847,,0
567,suzuki25,,25,21215,,0
568,bajaj,,31,27719,,0
569,bajaj1,,20,36074,,0
570,honda,,45,40650,,0
571,suzuki,,23,24989,,0
572,suzuki25,,48,25838,,0
573,bajaj,,65,47235,,0
574,bajaj1,,22,44217,,0
575,honda,,33,35570,,0
576,suzuki,,31,44621,,0
577,suzuki25,,37,26430,,0
578,bajaj,,35,43197,,0
579,bajaj1,,23,46124,,0
580,honda,,67,24863,,0
581,suzuki,,21,51369,,0
582,suzuki25,,34,38883,,0
583,bajaj,,40,43964,,0
584,bajaj1,,25,26723,,0
585,honda,,38,37050,,0
586,suzuki,,54,50874,,0
587,suzuki25,,36,25529,,0
588,bajaj,,49,36826,,0
589,bajaj1,,28,31302,,0
590,honda,,40,24537,,0
591,suzuki,,32,48219,,0
592,suzuki25,,27,41612,,0
593,bajaj,,37,22923,,0
594,bajaj1,,59,37463,,0
595,honda,,35,24192,,0
596,suzuki,,44,39235,,0
597,suzuki25,,45,48807,,0
598,bajaj,,57,51281,,0
599,bajaj1,,66,42538,,0
600,honda,,35,22799,,0
601,suzuki,,67,43039,,0
602,suzuki25,,69,28008,,0
603,bajaj,,59,40191,,0
604,bajaj1,,67,33216,,0
605,honda,,33,50521,,0
606,suzuki,,61,50497,,0
607,suzuki25,,30,33991,,0
608,bajaj,,20,52335,,0
609,bajaj1,,66,51490,,0
610,honda,,44,20995,,0
611,suzuki,,37,29170,,0
612,suzuki25,,55,31222,,0
613,bajaj,,55,52264,,0
614,bajaj1,,54,51932,,0
615,honda,,64,30224,,0
616,suzuki,,42,20851,,0
617,suzuki25,,54,49025,,0
618,bajaj,,64,41596,,0
619,bajaj1,,23,23127,,0
620,honda,,32,44745,,0
621,suzuki,,69,28450,,0
622,suzuki25,,21,40344,,0
623,bajaj,,49,27168,,0
624,bajaj1,,64,41247,,0
625,honda,,61,37993,,0
626,suzuki,,27,31080,,0
627,suzuki25,,23,52586,,0
628,bajaj,,39,39263,,0
629,bajaj1,,42,30868,,0
630,honda,,62,41514,,0
631,suzuki,,67,29525,,0
632,suzuki25,,27,43192,,0
633,bajaj,,41,42824,,0
634,bajaj1,,63,31133,,0
635,honda,,43,36009,,0
636,suzuki,,62,20253,,0
637,suzuki25,,49,45323,,0
638,bajaj,,24,44422,,0
639,bajaj1,,40,38477,,0
640,honda,,68,22980,,0
641,suzuki,,50,32202,,0
642,suzuki25,,38,40495,,0
643,bajaj,,60,29648,,0
644,bajaj1,,58,20903,,0
645,honda,,61,44884,,0
646,suzuki,,39,21731,,0
647,suzuki25,,37,39395,,0
648,bajaj,,26,31238,,0
649,bajaj1,,46,37852,,0
650,honda,,29,35443,,0
651,suzuki,,59,51421,,0
652,suzuki25,,58,24291,,0
653,bajaj,,35,43131,,0
654,bajaj1,,45,48565,,0
655,honda,,61,22326,,0
656,suzuki,,28,29573,,0
657,suzuki25,,46,43947,,0
658,bajaj,,39,23039,,0
659,bajaj1,,65,35852,,0
660,honda,,40,49397,,0
661,suzuki,,63,49102,,0
662,suzuki25,,61,28080,,0
663,bajaj,,50,35233,,0
664,bajaj1,,63,42116,,0
665,honda,,54,40357,,0
666,suzuki,,59,28839,,0
667,suzuki25,,26,51163,,0
668,bajaj,,26,40516,,0
669,bajaj1,,48,22234,,0
670,honda,,65,39626,,0
671,suzuki,,53,40643,,0
672,suzuki25,,59,44938,,0
673,bajaj,,32,43126,,0
674,bajaj1,,32,51841,,0
675,honda,,56,24838,,0
676,suzuki,,67,51570,,0
677,suzuki25,,23,23915,,0
678,bajaj,,58,31545,,0
679,bajaj1,,25,34423,,0
680,honda,,59,52059,,0
681,suzuki,,38,49420,,0
682,suzuki25,,57,52193,,0
683,bajaj,,39,26251,,0
684,bajaj1,,28,37223,,0
685,honda,,55,41359,,0
686,suzuki,,46,38256,,0
687,suzuki25,,47,33500,,0
688,bajaj,,31,37628,,0
689,bajaj1,,58,25234,,0
690,honda,,51,37213,,0
691,suzuki,,44,24999,,0
692,suzuki25,,43,37190,,0
693,bajaj,,65,40851,,0
694,bajaj1,,63,36901,,0
695,honda,,43,30797,,0
696,suzuki,,30,21938,,0
697,suzuki25,,52,24183,,0
698,bajaj,,41,49096,,0
699,bajaj1,,40,42453,,0
700,honda,,24,32885,,0
701,suzuki,,50,20996,,0
702,suzuki25,,58,33357,,0
703,bajaj,,39,48489,,0
704,bajaj1,,30,26371,,0
705,honda,,69,44135,,0
706,suzuki,,68,21562,,0
707,suzuki25,,69,41173,,0
708,bajaj,,57,33432,,0
709,bajaj1,,21,33199,,0
710,honda,,48,49948,,0
711,suzuki,,65,27403,,0
712,suzuki25,,54,28338,,0
713,bajaj,,31,47695,,0
714,bajaj1,,23,29701,,0
715,honda,,50,43682,,0
716,suzuki,,29,30613,,0
717,suzuki25,,21,38304,,0
718,bajaj,,21,47625,,0
719,bajaj1,,54,44114,,0
720,honda,,65,47302,,0
721,suzuki,,33,48221,,0
722,suzuki25,,29,48320,,0
723,bajaj,,32,21881,,0
724,bajaj1,,32,52112,,0
725,honda,,54,25381,,0
726,suzuki,,31,44744,,0
727,suzuki25,,42,36506,,0
728,bajaj,,50,34179,,0
729,bajaj1,,34,31997,,0
730,honda,,43,37952,,0
731,suzuki,,33,48600,,0
732,suzuki25,,30,50928,,0
733,bajaj,,55,32203,,0
734,bajaj1,,58,39245,,0
735,honda,,24,20863,,0
736,suzuki,,64,22894,,0
737,suzuki25,,53,44252,,0
738,bajaj,,45,30872,,0
739,bajaj1,,46,23164,,0
740,honda,,49,24152,,0
741,suzuki,,69,34655,,0
742,suzuki25,,41,29134,,0
743,bajaj,,40,46816,,0
744,bajaj1,,56,52556,,0
745,honda,,34,45799,,0
746,suzuki,,34,20512,,0
747,suzuki25,,68,52321,,0
748,bajaj,,65,33453,,0
749,bajaj1,,63,32749,,0
750,honda,,67,32961,,0
751,suzuki,,46,21208,,0
752,suzuki25,,57,24098,,0
753,bajaj,,20,31820,,0
754,bajaj1,,31,47466,,0
755,honda,,67,44740,,0
756,suzuki,,40,28949,,0
757,suzuki25,,20,38339,,0
758,bajaj,,23,44761,,0
759,bajaj1,,53,23494,,0
760,honda,,29,48438,,0
761,suzuki,,27,52343,,0
762,suzuki25,,63,23373,,0
763,bajaj,,24,26403,,0
764,bajaj1,,42,33525,,0
765,honda,,20,30062,,0
766,suzuki,,24,21772,,0
767,suzuki25,,29,31302,,0
768,bajaj,,61,40971,,0
769,bajaj1,,42,36117,,0
770,honda,,22,46301,,0
771,suzuki,,30,30011,,0
772,suzuki25,,21,32242,,0
773,bajaj,,34,39355,,0
774,bajaj1,,25,35983,,0
775,honda,,36,39220,,0
776,suzuki,,31,36968,,0
777,suzuki25,,47,40468,,0
778,bajaj,,68,28016,,0
779,bajaj1,,67,49928,,0
780,honda,,39,25584,,0
781,suzuki,,42,39863,,0
782,suzuki25,,66,32470,,0
783,bajaj,,40,46511,,0
784,bajaj1,,48,48208,,0
785,honda,,36,42399,,0
786,suzuki,,42,42138,,0
787,suzuki25,,68,29896,,0
788,bajaj,,63,49941,,0
789,bajaj1,,69,33454,,0
790,honda,,49,46488,,0
791,suzuki,,38,44819,,0
792,suzuki25,,40,50698,,0
793,bajaj,,29,24613,,0
794,bajaj1,,69,49713,,0
795,honda,,60,47351,,0
796,suzuki,,53,34245,,0
797,suzuki25,,62,37934,,0
798,bajaj,,60,27337,,0
799,bajaj1,,25,38653,,0
800,honda,,24,37915,,0
801,suzuki,,64,28755,,0
802,suzuki25,,64,50761,,0
803,bajaj,,35,38994,,0
804,bajaj1,,60,49830,,0
805,honda,,46,41988,,0
806,suzuki,,68,22685,,0
807,suzuki25,,37,33097,,0
808,bajaj,,57,41286,,0
809,bajaj1,,44,44820,,0
810,honda,,47,39223,,0
811,suzuki,,24,50647,,0
812,suzuki25,,35,35997,,0
813,bajaj,,51,25660,,0
814,bajaj1,,48,35211,,0
815,honda,,62,21526,,0
816,suzuki,,64,52369,,0
817,suzuki25,,65,31639,,0
818,bajaj,,68,23441,,0
819,bajaj1,,22,28355,,0
820,honda,,36,49870,,0
821,suzuki,,60,46372,,0
822,suzuki25,,22,43078,,0
823,bajaj,,22,38848,,0
824,bajaj1,,52,43330,,0
825,honda,,69,35656,,0
826,suzuki,,28,46635,,0
827,suzuki25,,59,35474,,0
828,bajaj,,41,24735,,0
829,bajaj1,,65,30025,,0
830,honda,,22,20420,,0
831,suzuki,,69,50916,,0
832,suzuki25,,34,20188,,0
833,bajaj,,60,47572,,0
834,bajaj1,,34,43546,,0
835,honda,,56,43778,,0
836,suzuki,,24,52660,,0
837,suzuki25,,55,20856,,0
838,bajaj,,55,23354,,0
839,bajaj1,,62,40542,,0
840,honda,,65,43302,,0
841,suzuki,,62,22825,,0
842,suzuki25,,64,24756,,0
843,bajaj,,43,52239,,0
844,bajaj1,,43,44532,,0
845,honda,,51,38078,,0
846,suzuki,,45,46621,,0
847,suzuki25,,62,27981,,0
848,bajaj,,65,51236,,0
849,bajaj1,,25,33139,,0
850,honda,,45,31629,,0
851,suzuki,,65,41975,,0
852,suzuki25,,58,45442,,0
853,bajaj,,48,30823,,0
854,bajaj1,,51,44066,,0
855,honda,,33,25869,,0
856,suzuki,,55,45083,,0
857,suzuki25,,25,24863,,0
858,bajaj,,38,25723,,0
859,bajaj1,,51,29494,,0
860,honda,,69,25795,,0
861,suzuki,,51,29697,,0
862,suzuki25,,51,47421,,0
863,bajaj,,49,26939,,0
864,bajaj1,,29,43408,,0
865,honda,,21,36058,,0
866,suzuki,,59,40338,,0
867,suzuki25,,37,21642,,0
868,bajaj,,55,32861,,0
869,bajaj1,,24,36185,,0
870,honda,,39,22949,,0
871,suzuki,,44,24500,,0
